Model,Rater,Theta,info_data_rater
HR,HR-1,-30,2.87646e-010
HR,HR-1,-29.697,3.8946e-010
HR,HR-1,-29.3939,5.27311e-010
HR,HR-1,-29.0909,7.13955e-010
HR,HR-1,-28.7879,9.66665e-010
HR,HR-1,-28.4848,1.30882e-009
HR,HR-1,-28.1818,1.77209e-009
HR,HR-1,-27.8788,2.39932e-009
HR,HR-1,-27.5758,3.24858e-009
HR,HR-1,-27.2727,4.39843e-009
HR,HR-1,-26.9697,5.95528e-009
HR,HR-1,-26.6667,8.06319e-009
HR,HR-1,-26.3636,1.09172e-008
HR,HR-1,-26.0606,1.47814e-008
HR,HR-1,-25.7576,2.00133e-008
HR,HR-1,-25.4545,2.70972e-008
HR,HR-1,-25.1515,3.66883e-008
HR,HR-1,-24.8485,4.96745e-008
HR,HR-1,-24.5455,6.7257e-008
HR,HR-1,-24.2424,9.10629e-008
HR,HR-1,-23.9394,1.23295e-007
HR,HR-1,-23.6364,1.66936e-007
HR,HR-1,-23.3333,2.26024e-007
HR,HR-1,-23.0303,3.06027e-007
HR,HR-1,-22.7273,4.14346e-007
HR,HR-1,-22.4242,5.61006e-007
HR,HR-1,-22.1212,7.59577e-007
HR,HR-1,-21.8182,1.02843e-006
HR,HR-1,-21.5152,1.39245e-006
HR,HR-1,-21.2121,1.88532e-006
HR,HR-1,-20.9091,2.55263e-006
HR,HR-1,-20.6061,3.45614e-006
HR,HR-1,-20.303,4.67945e-006
HR,HR-1,-20,6.33574e-006
HR,HR-1,-19.697,8.57827e-006
HR,HR-1,-19.3939,1.16145e-005
HR,HR-1,-19.0909,1.57255e-005
HR,HR-1,-18.7879,2.12913e-005
HR,HR-1,-18.4848,2.88271e-005
HR,HR-1,-18.1818,3.90297e-005
HR,HR-1,-17.8788,5.28431e-005
HR,HR-1,-17.5758,7.15445e-005
HR,HR-1,-17.2727,9.68633e-005
HR,HR-1,-16.9697,0.00013114
HR,HR-1,-16.6667,0.000177541
HR,HR-1,-16.3636,0.000240352
HR,HR-1,-16.0606,0.000325371
HR,HR-1,-15.7576,0.000440436
HR,HR-1,-15.4545,0.000596146
HR,HR-1,-15.1515,0.000806815
HR,HR-1,-14.8485,0.00109177
HR,HR-1,-14.5455,0.00147707
HR,HR-1,-14.2424,0.0019978
HR,HR-1,-13.9394,0.00270111
HR,HR-1,-13.6364,0.00365021
HR,HR-1,-13.3333,0.00492946
HR,HR-1,-13.0303,0.00665101
HR,HR-1,-12.7273,0.00896277
HR,HR-1,-12.4242,0.0120581
HR,HR-1,-12.1212,0.0161864
HR,HR-1,-11.8182,0.0216634
HR,HR-1,-11.5152,0.0288781
HR,HR-1,-11.2121,0.0382914
HR,HR-1,-10.9091,0.0504165
HR,HR-1,-10.6061,0.0657682
HR,HR-1,-10.303,0.0847637
HR,HR-1,-10,0.107559
HR,HR-1,-9.69697,0.13382
HR,HR-1,-9.39394,0.162466
HR,HR-1,-9.09091,0.19148
HR,HR-1,-8.78788,0.217945
HR,HR-1,-8.48485,0.238452
HR,HR-1,-8.18182,0.249895
HR,HR-1,-7.87879,0.250414
HR,HR-1,-7.57576,0.240043
HR,HR-1,-7.27273,0.220721
HR,HR-1,-6.9697,0.195649
HR,HR-1,-6.66667,0.168357
HR,HR-1,-6.36364,0.141917
HR,HR-1,-6.06061,0.118543
HR,HR-1,-5.75758,0.0995598
HR,HR-1,-5.45454,0.0856073
HR,HR-1,-5.15151,0.0769041
HR,HR-1,-4.84848,0.0734799
HR,HR-1,-4.54545,0.0753278
HR,HR-1,-4.24242,0.0824667
HR,HR-1,-3.93939,0.094911
HR,HR-1,-3.63636,0.112551
HR,HR-1,-3.33333,0.134945
HR,HR-1,-3.0303,0.161063
HR,HR-1,-2.72727,0.189048
HR,HR-1,-2.42424,0.216154
HR,HR-1,-2.12121,0.239013
HR,HR-1,-1.81818,0.254317
HR,HR-1,-1.51515,0.259748
HR,HR-1,-1.21212,0.254782
HR,HR-1,-0.90909,0.240927
HR,HR-1,-0.60606,0.221279
HR,HR-1,-0.303029,0.199634
HR,HR-1,8.9407e-007,0.179607
HR,HR-1,0.303031,0.164079
HR,HR-1,0.606062,0.15501
HR,HR-1,0.909092,0.153501
HR,HR-1,1.21212,0.159905
HR,HR-1,1.51515,0.173879
HR,HR-1,1.81818,0.194317
HR,HR-1,2.12121,0.219257
HR,HR-1,2.42424,0.245885
HR,HR-1,2.72727,0.270834
HR,HR-1,3.0303,0.290857
HR,HR-1,3.33333,0.30374
HR,HR-1,3.63636,0.30906
HR,HR-1,3.93939,0.308347
HR,HR-1,4.24243,0.304503
HR,HR-1,4.54546,0.30069
HR,HR-1,4.84849,0.29918
HR,HR-1,5.15152,0.300561
HR,HR-1,5.45455,0.303527
HR,HR-1,5.75758,0.30529
HR,HR-1,6.06061,0.302515
HR,HR-1,6.36364,0.292504
HR,HR-1,6.66667,0.274165
HR,HR-1,6.9697,0.24834
HR,HR-1,7.27273,0.217392
HR,HR-1,7.57576,0.184337
HR,HR-1,7.87879,0.15197
HR,HR-1,8.18182,0.122332
HR,HR-1,8.48485,0.0965636
HR,HR-1,8.78788,0.0750376
HR,HR-1,9.09091,0.0575971
HR,HR-1,9.39394,0.0437917
HR,HR-1,9.69697,0.0330542
HR,HR-1,10,0.0248125
HR,HR-1,10.303,0.0185487
HR,HR-1,10.6061,0.0138232
HR,HR-1,10.9091,0.0102777
HR,HR-1,11.2121,0.00762843
HR,HR-1,11.5152,0.0056548
HR,HR-1,11.8182,0.00418781
HR,HR-1,12.1212,0.00309921
HR,HR-1,12.4242,0.00229239
HR,HR-1,12.7273,0.00169496
HR,HR-1,13.0303,0.00125287
HR,HR-1,13.3333,0.000925891
HR,HR-1,13.6364,0.000684143
HR,HR-1,13.9394,0.000505457
HR,HR-1,14.2424,0.000373408
HR,HR-1,14.5455,0.00027584
HR,HR-1,14.8485,0.000203755
HR,HR-1,15.1515,0.000150504
HR,HR-1,15.4545,0.000111166
HR,HR-1,15.7576,8.21093e-005
HR,HR-1,16.0606,6.06463e-005
HR,HR-1,16.3636,4.47933e-005
HR,HR-1,16.6667,3.3084e-005
HR,HR-1,16.9697,2.44355e-005
HR,HR-1,17.2727,1.80477e-005
HR,HR-1,17.5758,1.33297e-005
HR,HR-1,17.8788,9.84506e-006
HR,HR-1,18.1818,7.27137e-006
HR,HR-1,18.4848,5.37048e-006
HR,HR-1,18.7879,3.96652e-006
HR,HR-1,19.0909,2.92959e-006
HR,HR-1,19.3939,2.16373e-006
HR,HR-1,19.697,1.59808e-006
HR,HR-1,20,1.18031e-006
HR,HR-1,20.303,8.71747e-007
HR,HR-1,20.6061,6.43853e-007
HR,HR-1,20.9091,4.75535e-007
HR,HR-1,21.2121,3.51219e-007
HR,HR-1,21.5152,2.59402e-007
HR,HR-1,21.8182,1.91588e-007
HR,HR-1,22.1212,1.41503e-007
HR,HR-1,22.4242,1.04511e-007
HR,HR-1,22.7273,7.71891e-008
HR,HR-1,23.0303,5.70101e-008
HR,HR-1,23.3333,4.21063e-008
HR,HR-1,23.6364,3.10987e-008
HR,HR-1,23.9394,2.29688e-008
HR,HR-1,24.2424,1.69642e-008
HR,HR-1,24.5455,1.25294e-008
HR,HR-1,24.8485,9.25392e-009
